text,intent
Đi tiểu nhiều lần từng cơn vài ngày nay. Khát về đêm nhiều khi gắng sức. Nhiễm trùng da tái phát tăng dần gần đây. Khô miệng dai dẳng khi nghỉ.,Tiểu đường
"Hiện tại, Hơi thở có mùi hôi từng cơn khi nghỉ. Tiểu đêm nhiều nhẹ về đêm. Hoa mắt chóng mặt từng cơn khi nghỉ. Phù chân nhiều gần đây. Da khô và ngứa từng cơn về đêm.",Suy thận
"Gần đây, Dịch nhầy quanh hậu môn nhẹ về đêm. Ngứa quanh hậu môn nhiều 2 tuần gần đây. Đau khi ngồi lâu nhẹ khi gắng sức. Cảm giác cộm vướng tăng dần.",Trĩ
"Gần đây, Phù chân 1 tuần nay. Tăng huyết áp khó kiểm soát. Nước tiểu có bọt 2 tuần gần đây. Mệt mỏi nhẹ 2 tuần gần đây. Chuột rút cơ dai dẳng về đêm.",Suy thận
Phù mắt cá chân từng cơn vài ngày nay. Chóng mặt nhiều khi gắng sức.,Tim mạch
Nhìn mờ vài ngày nay. Ngứa da tăng dần gần đây. Chuột rút từng cơn khi gắng sức. Khô miệng tăng dần 1 tuần nay. Khát về đêm dai dẳng khi nghỉ.,Tiểu đường
Tiểu ra máu 1 tuần nay. Đau lan xuống háng dai dẳng 1 tuần nay. Đau tăng từng cơn nhẹ vài ngày nay. Ớn lạnh dai dẳng 2 tuần gần đây. Đau rát khi đi tiểu khi nghỉ.,Sỏi thận
Hắt xì. Đau cơ. Sốt nhẹ.,Cảm cúm hoặc cảm lạnh
Nóng đỏ khớp nhiều về đêm. Đau tăng khi nâng vật nặng tăng dần 1 tuần nay. Giảm khi nghỉ ngơi từng cơn vài ngày nay. Sưng đau khớp gối 2 tuần gần đây. Đau tăng khi ngồi lâu 2 tuần gần đây.,Đau lưng và viêm khớp
Phù mắt cá chân tăng dần khi nghỉ. Đau tức ngực từng cơn khi gắng sức. Ho khan dai dẳng nhẹ gần đây. Khó thở nhiều về đêm. Đau lan cánh tay trái nhẹ khi nghỉ.,Tim mạch
"Khoảng vài hôm, Phù chân nhẹ 2 tuần gần đây. Bầm tím dễ dàng nhẹ về đêm. Chảy máu cam nhiều vài ngày nay. Ngứa da dai dẳng gần đây.",Xơ gan hoặc gan có vấn đề
Đau tăng từng cơn tăng dần vài ngày nay. Đau rát khi đi tiểu từng cơn khi gắng sức. Sốt dai dẳng khi nghỉ. Nước tiểu đục từng cơn 1 tuần nay. Tiểu buốt nhẹ khi gắng sức.,Sỏi thận
Khô miệng nhẹ 2 tuần gần đây. Nhiễm trùng da tái phát dai dẳng khi nghỉ. Tê bì tay chân từng cơn 2 tuần gần đây. Đi tiểu nhiều lần tăng dần.,Tiểu đường
"Thỉnh thoảng, Nặng ngực nhẹ 1 tuần nay. Đau tức ngực 1 tuần nay.",Tim mạch
"Thỉnh thoảng, Buồn nôn tăng dần 2 tuần gần đây. Ớn lạnh dai dẳng vài ngày nay.",Sỏi thận
Tiểu ra máu nhiều về đêm. Rối loạn giấc ngủ dai dẳng về đêm. Nôn gần đây.,Suy thận
Mụn nước phồng rộp tăng dần khi gắng sức. Da dày lên theo mảng từng cơn.,Viêm da tiếp xúc
Khát nước liên tục dai dẳng khi gắng sức. Hơi thở mùi trái cây về đêm. Khát về đêm gần đây.,Tiểu đường
"Hiện tại, Sưng quanh hậu môn nhẹ khi gắng sức. Cảm giác cộm vướng nhẹ 2 tuần gần đây. Chảy máu khi đi tiêu khi nghỉ.",Trĩ
Đau đầu từng cơn gần đây. Sổ mũi nhiều khi gắng sức. Chảy nước mũi dai dẳng 2 tuần gần đây. Ho có đờm nhiều về đêm.,Cảm cúm hoặc cảm lạnh
"Hiện tại, Vết thương lâu lành tăng dần khi nghỉ. Hơi thở mùi trái cây 2 tuần gần đây.",Tiểu đường
